filename,loc_physical,loc,cc,fan_in,fan_out
clients/src/test/java/org/apache/kafka/clients/producer/RoundRobinPartitionerTest.java,99,66,9,3,11
clients/src/test/java/org/apache/kafka/clients/producer/internals/TransactionManagerTest.java,4617,3432,55,225,101
clients/src/test/java/org/apache/kafka/clients/producer/internals/RecordAccumulatorTest.java,1793,1335,105,81,64
clients/src/test/java/org/apache/kafka/clients/producer/internals/BuiltInPartitionerTest.java,208,142,11,5,15
clients/src/test/java/org/apache/kafka/clients/producer/internals/SenderTest.java,3957,2966,94,145,126
clients/src/test/java/org/apache/kafka/clients/producer/internals/FutureRecordMetadataTest.java,82,50,3,5,11
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerMetadataTest.java,335,244,20,20,22
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerTestUtils.java,45,24,4,1,2
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerBatchTest.java,374,276,24,18,35
clients/src/test/java/org/apache/kafka/clients/producer/internals/KafkaProducerMetricsTest.java,128,72,3,20,4
clients/src/test/java/org/apache/kafka/clients/producer/internals/BufferPoolTest.java,410,303,24,30,29
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerInterceptorsTest.java,268,190,26,30,11
clients/src/test/java/org/apache/kafka/clients/admin/AdminClientConfigTest.java,49,25,3,2,9
clients/src/test/java/org/apache/kafka/clients/admin/DeleteConsumerGroupOffsetsResultTest.java,118,84,3,13,16
clients/src/test/java/org/apache/kafka/clients/admin/MemberDescriptionTest.java,156,117,3,9,6
clients/src/test/java/org/apache/kafka/clients/admin/KafkaAdminClientTest.java,11721,9488,186,366,307
clients/src/test/java/org/apache/kafka/clients/admin/DescribeTopicsResultTest.java,46,22,3,2,5
clients/src/test/java/org/apache/kafka/clients/admin/DeleteTopicsResultTest.java,66,38,3,3,10
clients/src/test/java/org/apache/kafka/clients/admin/EndpointTypeTest.java,48,24,3,4,3
clients/src/test/java/org/apache/kafka/clients/admin/AdminClientTestUtils.java,220,134,12,20,17
clients/src/test/java/org/apache/kafka/clients/admin/AdminClientUnitTestEnv.java,140,88,8,18,11
clients/src/test/java/org/apache/kafka/clients/admin/RemoveMembersFromConsumerGroupOptionsTest.java,39,15,4,1,4
clients/src/test/java/org/apache/kafka/clients/admin/GroupListingTest.java,49,22,3,2,7
clients/src/test/java/org/apache/kafka/clients/admin/ConsumerGroupListingTest.java,39,18,4,1,4
clients/src/test/java/org/apache/kafka/clients/admin/DescribeUserScramCredentialsResultTest.java,120,89,10,3,9
clients/src/test/java/org/apache/kafka/clients/admin/ListGroupsOptionsTest.java,114,79,3,6,7
clients/src/test/java/org/apache/kafka/clients/admin/FakeForwardingAdmin.java,26,7,3,1,1
clients/src/test/java/org/apache/kafka/clients/admin/ConfigTest.java,102,70,3,13,10
clients/src/test/java/org/apache/kafka/clients/admin/MockAdminClient.java,1603,1386,178,156,56
clients/src/test/java/org/apache/kafka/clients/admin/ListConsumerGroupsOptionsTest.java,34,13,3,1,4
clients/src/test/java/org/apache/kafka/clients/admin/RemoveMembersFromConsumerGroupResultTest.java,119,85,3,12,16
clients/src/test/java/org/apache/kafka/clients/admin/ListTransactionsResultTest.java,119,78,4,5,14
clients/src/test/java/org/apache/kafka/clients/admin/NewTopicTest.java,186,142,3,16,15
clients/src/test/java/org/apache/kafka/clients/admin/ScramMechanismTest.java,35,13,3,1,2
clients/src/test/java/org/apache/kafka/clients/admin/TopicCollectionTest.java,46,20,3,1,8
clients/src/test/java/org/apache/kafka/clients/admin/ConsumerGroupDescriptionTest.java,40,20,4,1,3
clients/src/test/java/org/apache/kafka/clients/admin/internals/DeleteRecordsHandlerTest.java,307,242,7,22,32
clients/src/test/java/org/apache/kafka/clients/admin/internals/AdminBootstrapAddressesTest.java,78,54,4,3,11
clients/src/test/java/org/apache/kafka/clients/admin/internals/DeleteShareGroupsHandlerTest.java,26,7,3,1,1
clients/src/test/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategyIntegrationTest.java,249,188,4,16,24
clients/src/test/java/org/apache/kafka/clients/admin/internals/DeleteConsumerGroupOffsetsHandlerTest.java,208,168,4,21,26
clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeProducersHandlerTest.java,330,267,8,18,35
clients/src/test/java/org/apache/kafka/clients/admin/internals/AdminApiDriverTest.java,917,702,25,72,37
clients/src/test/java/org/apache/kafka/clients/admin/internals/ListOffsetsHandlerTest.java,342,273,14,28,31
clients/src/test/java/org/apache/kafka/clients/admin/internals/DeleteGroupsHandlerTest.java,136,101,3,15,19
clients/src/test/java/org/apache/kafka/clients/admin/internals/PartitionLeaderStrategyTest.java,302,246,5,22,26
clients/src/test/java/org/apache/kafka/clients/admin/internals/AdminMetadataManagerTest.java,163,118,4,12,16
clients/src/test/java/org/apache/kafka/clients/admin/internals/AbortTransactionHandlerTest.java,222,174,3,15,24
clients/src/test/java/org/apache/kafka/clients/admin/internals/ListTransactionsHandlerTest.java,252,207,8,17,27
clients/src/test/java/org/apache/kafka/clients/admin/internals/CoordinatorStrategyTest.java,291,231,3,20,20
clients/src/test/java/org/apache/kafka/clients/admin/internals/AlterConsumerGroupOffsetsHandlerTest.java,189,152,3,21,19
clients/src/test/java/org/apache/kafka/clients/admin/internals/AdminFetchMetricsManagerTest.java,170,125,3,13,16
clients/src/test/java/org/apache/kafka/clients/admin/internals/PartitionLeaderStrategyIntegrationTest.java,491,342,14,20,31
clients/src/test/java/org/apache/kafka/clients/admin/internals/DeleteConsumerGroupsHandlerTest.java,26,7,3,1,1
clients/src/test/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategyTest.java,124,86,3,6,12
clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeTransactionsHandlerTest.java,227,181,5,15,19
clients/src/test/java/org/apache/kafka/clients/admin/internals/ListConsumerGroupOffsetsHandlerTest.java,593,528,5,48,36
clients/src/test/java/org/apache/kafka/clients/admin/internals/RemoveMembersFromConsumerGroupHandlerTest.java,180,143,3,20,21
clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeConsumerGroupsHandlerTest.java,423,369,7,26,47
clients/src/test/java/org/apache/kafka/clients/admin/internals/FenceProducersHandlerTest.java,157,119,3,13,17
clients/src/test/java/org/apache/kafka/clients/consumer/CooperativeStickyAssignorTest.java,290,197,8,16,25
clients/src/test/java/org/apache/kafka/clients/consumer/RangeAssignorTest.java,604,468,14,43,31
clients/src/test/java/org/apache/kafka/clients/consumer/ConsumerGroupMetadataTest.java,88,55,3,6,7
clients/src/test/java/org/apache/kafka/clients/consumer/MockConsumerTest.java,235,181,4,11,19
clients/src/test/java/org/apache/kafka/clients/consumer/RoundRobinAssignorTest.java,347,259,8,23,15
clients/src/test/java/org/apache/kafka/clients/consumer/ConsumerRecordsTest.java,220,161,18,8,18
clients/src/test/java/org/apache/kafka/clients/consumer/MockShareConsumerTest.java,52,30,3,2,9
clients/src/test/java/org/apache/kafka/clients/consumer/KafkaConsumerTest.java,3863,2913,93,219,159
clients/src/test/java/org/apache/kafka/clients/consumer/OffsetAndMetadataTest.java,83,50,4,7,6
clients/src/test/java/org/apache/kafka/clients/consumer/ConsumerRecordTest.java,101,75,3,2,7
clients/src/test/java/org/apache/kafka/clients/consumer/ConsumerConfigTest.java,295,235,7,26,25
clients/src/test/java/org/apache/kafka/clients/consumer/KafkaShareConsumerMetricsTest.java,394,312,8,22,48
clients/src/test/java/org/apache/kafka/clients/consumer/ConsumerPartitionAssignorTest.java,157,116,3,14,16
clients/src/test/java/org/apache/kafka/clients/consumer/CloseOptionsTest.java,52,28,3,0,7
clients/src/test/java/org/apache/kafka/clients/consumer/KafkaShareConsumerTest.java,418,322,38,24,48
clients/src/test/java/org/apache/kafka/clients/consumer/ShareConsumerConfigTest.java,53,30,3,2,6
clients/src/test/java/org/apache/kafka/clients/consumer/StickyAssignorTest.java,393,316,12,17,35
clients/src/test/java/org/apache/kafka/clients/consumer/internals/TopicMetadataRequestManagerTest.java,305,247,10,15,41
