filename,loc_physical,loc,cc,fan_in,fan_out
tests/auth_tests/models/invalid_models.py,21,10,2,0,2
tests/auth_tests/models/proxy.py,18,12,1,0,2
tests/auth_tests/models/__init__.py,43,42,1,0,14
tests/auth_tests/models/with_custom_email_field.py,24,18,1,1,3
tests/auth_tests/models/with_many_to_many.py,40,26,1,1,2
tests/auth_tests/models/custom_permissions.py,35,20,1,2,3
tests/auth_tests/models/with_integer_username.py,23,16,1,2,2
tests/auth_tests/models/minimal.py,6,4,1,0,1
tests/auth_tests/models/uuid_pk.py,13,6,1,0,4
tests/auth_tests/models/is_active.py,16,6,2,0,2
tests/auth_tests/models/with_unique_constraint.py,22,16,1,1,2
tests/auth_tests/models/with_foreign_key.py,27,19,1,1,2
tests/auth_tests/models/with_last_login_attr.py,5,3,1,0,1
tests/auth_tests/operations_migrations/__init__.py,0,0,1,0,0
tests/auth_tests/operations_migrations/0001_initial.py,14,11,1,0,1
tests/auth_tests/operations_migrations/0002_rename_oldmodel_to_newmodel.py,14,11,1,0,1
tests/transaction_hooks/models.py,5,3,1,0,1
tests/transaction_hooks/__init__.py,0,0,1,0,0
tests/transaction_hooks/tests.py,283,135,18,31,3
tests/migrations/test_optimizer.py,1522,1355,24,55,6
tests/migrations/test_loader.py,687,422,39,32,10
tests/migrations/models.py,70,34,2,2,2
tests/migrations/test_writer.py,1296,1113,33,88,80
tests/migrations/test_operations.py,6894,1644,142,194,16
tests/migrations/test_multidb.py,187,62,6,18,4
tests/migrations/test_exceptions.py,11,9,1,1,2
tests/migrations/__init__.py,0,0,1,0,0
tests/migrations/test_state.py,2266,1845,61,91,9
tests/migrations/test_deprecated_fields.py,25,13,1,1,3
tests/migrations/test_commands.py,3642,1959,147,166,31
tests/migrations/test_autodetector.py,5673,2985,147,189,18
tests/migrations/test_executor.py,1000,652,67,31,11
tests/migrations/test_questioner.py,123,105,2,15,8
tests/migrations/test_base.py,452,297,51,36,18
tests/migrations/test_graph.py,473,74,20,20,3
tests/migrations/routers.py,14,9,3,2,0
tests/migrations/migrations_test_apps/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/unspecified_app_with_conflict/models.py,0,0,1,0,0
tests/migrations/migrations_test_apps/unspecified_app_with_conflict/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/unspecified_app_with_conflict/migrations/0002_second.py,17,14,1,0,1
tests/migrations/migrations_test_apps/unspecified_app_with_conflict/migrations/0002_conflicting_second.py,14,11,1,0,1
tests/migrations/migrations_test_apps/unspecified_app_with_conflict/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/unspecified_app_with_conflict/migrations/0001_initial.py,23,21,1,0,1
tests/migrations/migrations_test_apps/lookuperror_a/models.py,18,10,1,0,1
tests/migrations/migrations_test_apps/lookuperror_a/__init__.py,0,0,1,0,0
