filename,loc_physical,loc,cc,fan_in,fan_out
numpy/distutils/tests/test_fcompiler.py,43,33,4,1,2
numpy/distutils/tests/test_build_ext.py,74,2,7,2,10
numpy/distutils/tests/test_shell_utils.py,79,57,5,4,7
numpy/distutils/tests/test_exec_command.py,217,19,16,17,13
numpy/distutils/tests/test_npy_pkg_config.py,84,53,1,4,3
numpy/distutils/tests/utilities.py,90,34,6,5,12
numpy/distutils/tests/test_fcompiler_nagfor.py,22,20,2,1,2
numpy/distutils/tests/test_ccompiler_opt.py,808,162,96,34,7
numpy/distutils/tests/test_fcompiler_gnu.py,55,48,7,4,2
numpy/distutils/mingw/gfortran_vs2003_hack.c,6,5,1,2,0
numpy/distutils/fcompiler/gnu.py,555,114,108,25,17
numpy/distutils/fcompiler/compaq.py,120,97,16,9,7
numpy/distutils/fcompiler/intel.py,211,152,14,16,5
numpy/distutils/fcompiler/none.py,28,21,2,1,3
numpy/distutils/fcompiler/nag.py,87,73,7,9,5
numpy/distutils/fcompiler/pg.py,128,72,7,14,7
numpy/distutils/fcompiler/ibm.py,97,79,18,5,10
numpy/distutils/fcompiler/sun.py,51,42,4,5,4
numpy/distutils/fcompiler/nv.py,53,34,3,5,3
numpy/distutils/fcompiler/lahey.py,45,37,3,4,4
numpy/distutils/fcompiler/__init__.py,1035,389,189,52,19
numpy/distutils/fcompiler/g95.py,42,29,2,3,3
numpy/distutils/fcompiler/arm.py,71,30,2,8,7
numpy/distutils/fcompiler/mips.py,54,48,11,5,3
numpy/distutils/fcompiler/hpux.py,41,34,2,5,3
numpy/distutils/fcompiler/environment.py,88,74,16,8,2
numpy/distutils/fcompiler/pathf95.py,33,27,2,2,3
numpy/distutils/fcompiler/fujitsu.py,46,32,3,4,3
numpy/distutils/fcompiler/absoft.py,158,117,27,11,6
numpy/distutils/fcompiler/vast.py,52,41,3,3,4
numpy/distutils/command/build.py,62,46,6,3,5
numpy/distutils/command/config_compiler.py,126,98,26,7,4
numpy/distutils/command/build_ext.py,752,588,146,11,16
numpy/distutils/command/config.py,516,331,94,24,19
numpy/distutils/command/install_headers.py,25,21,6,1,2
numpy/distutils/command/build_py.py,31,20,5,3,2
numpy/distutils/command/build_src.py,773,301,160,24,19
numpy/distutils/command/__init__.py,41,30,2,1,0
numpy/distutils/command/sdist.py,27,20,7,1,4
numpy/distutils/command/build_scripts.py,49,36,10,3,4
numpy/distutils/command/bdist_rpm.py,22,17,4,1,4
numpy/distutils/command/install_clib.py,40,30,6,4,4
numpy/distutils/command/build_clib.py,469,369,78,10,13
numpy/distutils/command/autodist.py,148,58,17,7,1
numpy/distutils/command/egg_info.py,25,17,4,1,5
numpy/distutils/command/install.py,79,48,14,3,5
numpy/distutils/command/develop.py,15,7,3,1,1
numpy/distutils/command/install_data.py,24,14,2,2,2
numpy/_utils/_pep440.py,486,157,69,48,3
numpy/_utils/__init__.py,95,38,21,6,4
numpy/_utils/_convertions.py,18,9,3,2,0
numpy/_utils/_inspect.py,192,80,33,11,2
numpy/strings/__init__.py,2,2,1,0,2
numpy/char/__init__.py,2,2,1,0,2
numpy/core/umath.py,10,9,2,1,2
numpy/core/fromnumeric.py,10,9,2,1,2
numpy/core/_dtype.py,10,9,2,1,2
numpy/core/_internal.py,27,14,3,2,4
numpy/core/multiarray.py,25,14,4,1,4
numpy/core/records.py,10,9,2,1,2
numpy/core/__init__.py,33,13,5,2,2
numpy/core/overrides.py,10,9,2,1,2
numpy/core/getlimits.py,10,9,2,1,2
numpy/core/_dtype_ctypes.py,10,9,2,1,2
numpy/core/defchararray.py,10,9,2,1,2
numpy/core/shape_base.py,10,9,2,1,2
numpy/core/numeric.py,12,10,2,1,2
numpy/core/function_base.py,10,9,2,1,2
numpy/core/einsumfunc.py,10,9,2,1,2
numpy/core/numerictypes.py,10,9,2,1,2
numpy/core/_utils.py,21,19,4,1,1
numpy/core/arrayprint.py,10,9,2,1,2
numpy/core/_multiarray_umath.py,57,22,12,1,10
numpy/linalg/__init__.py,98,9,10,0,3
numpy/linalg/_linalg.py,3661,1066,470,81,48
numpy/linalg/linalg.py,17,16,3,1,2
numpy/linalg/lapack_litemodule.c,434,26,22,1,3
numpy/linalg/tests/test_linalg.py,2442,774,169,146,23
numpy/linalg/tests/test_deprecations.py,21,8,3,1,2
numpy/linalg/tests/__init__.py,0,0,1,0,0
numpy/linalg/tests/test_regression.py,181,132,9,12,4
numpy/linalg/lapack_lite/f2c_d_lapack.c,41864,4001,3789,19,2
numpy/linalg/lapack_lite/clapack_scrub.py,319,206,33,34,7
numpy/linalg/lapack_lite/f2c_z_lapack.c,29996,3077,2441,15,2
numpy/linalg/lapack_lite/f2c_lapack.c,1651,284,279,0,2
numpy/linalg/lapack_lite/f2c_c_lapack.c,29861,3079,2441,27,2
numpy/linalg/lapack_lite/f2c_config.c,2068,403,134,0,2
numpy/linalg/lapack_lite/f2c.c,771,528,17,13,6
numpy/linalg/lapack_lite/f2c_blas.c,21603,1007,2499,0,2
numpy/linalg/lapack_lite/f2c_s_lapack.c,41691,4008,3790,38,2
numpy/linalg/lapack_lite/python_xerbla.c,43,21,6,2,3
numpy/linalg/lapack_lite/make_lite.py,392,257,62,26,9
numpy/linalg/lapack_lite/fortran.py,124,20,22,14,2
numpy/ctypeslib/__init__.py,13,13,1,0,1
numpy/ctypeslib/_ctypeslib.py,603,182,89,17,11
numpy/ma/extras.py,2343,1079,278,49,40
numpy/ma/testutils.py,294,166,43,17,8
numpy/ma/__init__.py,53,9,3,0,4
numpy/ma/core.py,8932,3401,1153,270,142
numpy/ma/mrecords.py,773,373,136,28,3
numpy/ma/tests/test_old_ma.py,939,833,27,45,8
numpy/ma/tests/test_core.py,5962,4472,190,352,25
numpy/ma/tests/test_deprecations.py,86,12,5,6,6
numpy/ma/tests/__init__.py,0,0,1,0,0
numpy/ma/tests/test_subclassing.py,469,96,25,45,6
numpy/ma/tests/test_extras.py,2003,1611,64,97,8
numpy/ma/tests/test_arrayobject.py,40,29,1,3,4
numpy/ma/tests/test_mrecords.py,495,387,16,25,8
numpy/ma/tests/test_regression.py,98,66,3,14,4
numpy/_core/umath.py,60,45,5,0,4
numpy/_core/fromnumeric.py,4272,621,526,90,53
numpy/_core/_dtype.py,366,96,68,17,1
numpy/_core/_add_newdocs.py,7010,2629,733,1,113
numpy/_core/_methods.py,253,176,58,15,9
numpy/_core/_internal.py,958,549,176,47,10
numpy/_core/_string_helpers.py,100,16,12,3,4
numpy/_core/multiarray.py,1762,802,177,24,29
numpy/_core/_asarray.py,130,44,15,1,3
numpy/_core/records.py,1088,453,199,25,11
numpy/_core/check_longdouble.c,15,11,1,2,0
numpy/_core/_add_newdocs_scalars.py,389,129,40,4,5
numpy/_core/__init__.py,221,52,35,4,23
numpy/_core/_machar.py,355,217,54,3,3
numpy/_core/memmap.py,363,119,51,5,11
numpy/_core/overrides.py,183,52,29,7,5
numpy/_core/getlimits.py,747,335,101,23,10
numpy/_core/_dtype_ctypes.py,120,69,19,6,5
numpy/_core/defchararray.py,1415,261,156,68,22
numpy/_core/shape_base.py,996,228,131,26,12
numpy/_core/numeric.py,2758,1302,325,55,52
numpy/_core/function_base.py,545,147,74,9,17
numpy/_core/einsumfunc.py,1498,493,249,13,6
numpy/_core/_ufunc_config.py,491,98,50,11,10
numpy/_core/_exceptions.py,162,43,20,16,0
numpy/_core/numerictypes.py,633,238,63,11,17
numpy/_core/_type_aliases.py,119,70,18,0,2
numpy/_core/cversions.py,13,6,3,0,3
numpy/_core/printoptions.py,32,19,4,0,4
numpy/_core/strings.py,1807,820,197,50,38
numpy/_core/arrayprint.py,1784,726,325,58,28
numpy/_core/tests/test_numerictypes.py,621,157,43,45,8
numpy/_core/tests/test_scalar_methods.py,254,197,16,22,8
numpy/_core/tests/test_scalarmath.py,1166,597,166,75,15
numpy/_core/tests/test_item_selection.py,167,123,28,9,4
numpy/_core/tests/test_array_coercion.py,911,518,90,63,7
numpy/_core/tests/test_limited_api.py,102,78,13,2,13
numpy/_core/tests/test_casting_floatingpoint_errors.py,154,98,9,15,4
numpy/_core/tests/test_machar.py,30,17,6,2,3
numpy/_core/tests/_natype.py,144,98,21,12,2
numpy/_core/tests/test_unicode.py,369,90,20,19,2
numpy/_core/tests/test_cpu_dispatcher.py,48,35,9,1,3
numpy/_core/tests/test_arrayprint.py,1327,529,44,75,10
numpy/_core/tests/test_multithreading.py,338,224,42,35,9
numpy/_core/tests/test_scalarbuffer.py,153,112,3,9,5
numpy/_core/tests/test_indexerrors.py,122,3,2,10,2
numpy/_core/tests/test_print.py,200,87,31,11,6
numpy/_core/tests/test_half.py,578,167,29,20,5
numpy/_core/tests/test_arraymethod.py,84,46,7,4,5
numpy/_core/tests/test_mem_overlap.py,933,360,116,53,8
numpy/_core/tests/test_shape_base.py,903,721,32,70,9
numpy/_core/tests/test_hashtable.py,36,22,7,1,3
numpy/_core/tests/test_array_interface.py,222,88,28,4,6
numpy/_core/tests/test_deprecations.py,536,335,53,50,14
numpy/_core/tests/test_errstate.py,131,91,6,9,4
numpy/_core/tests/test_nep50_promotions.py,287,176,23,16,6
numpy/_core/tests/test_records.py,544,35,17,39,9
numpy/_core/tests/test_mem_policy.py,452,214,39,11,11
numpy/_core/tests/test_simd.py,1345,999,208,69,7
numpy/_core/tests/test_scalarinherit.py,105,75,3,7,3
numpy/_core/tests/test_indexing.py,1674,1101,162,105,10
numpy/_core/tests/test_umath.py,4941,341,404,344,19
numpy/_core/tests/test_numeric.py,4239,2521,239,305,20
numpy/_core/tests/test_function_base.py,504,391,28,47,8
numpy/_core/tests/test_datetime.py,2744,2094,99,118,8
