id,number,title,state,user,created_at,updated_at,comments,url
3518826357,165559,Release 2.9 README.md has links to images that do not work on pypi,open,atalman,2025-10-15T16:45:19Z,2025-10-16T13:21:07Z,2,https://github.com/pytorch/pytorch/issues/165559
3518650307,165552,"Feature Request: Add a mechanism to track ""dead"" ReLU activations",closed,Mark799,2025-10-15T15:55:39Z,2025-10-16T09:22:44Z,2,https://github.com/pytorch/pytorch/issues/165552
3518594437,165549,Operations like `abs` (dispatched via CompositeExplicitAutograd) return empty tensors when run through cpu_fallback,open,fizzxed,2025-10-15T15:40:44Z,2025-10-17T18:45:38Z,1,https://github.com/pytorch/pytorch/issues/165549
3518378453,165547,error message for deepcopy a cuda tensor under FakeTensorMode is pretty cryptic,open,zou3519,2025-10-15T14:41:19Z,2025-10-24T16:38:12Z,1,https://github.com/pytorch/pytorch/issues/165547
3517284765,165537,"`torch.linspace` with `inf` endpoint and `float16` dtype returns all `nan`,inconsistent with NumPy",open,rookieLiu2018,2025-10-15T10:01:22Z,2025-10-15T13:15:18Z,0,https://github.com/pytorch/pytorch/issues/165537
3517242170,165536,some questions for contributing,closed,wenlinchong17-web,2025-10-15T09:48:39Z,2025-10-17T14:41:52Z,1,https://github.com/pytorch/pytorch/issues/165536
3516624591,165532,PyTorch CPU / DataLoader: “Too many open files” (`EMFILE`),open,dipikakhullar,2025-10-15T06:55:58Z,2025-10-21T03:06:15Z,8,https://github.com/pytorch/pytorch/issues/165532
3516613339,165530,`torch.func.jvp` does not support flash_attention calculation,closed,pnotp,2025-10-15T06:52:20Z,2025-10-16T09:05:05Z,1,https://github.com/pytorch/pytorch/issues/165530
3516464674,165525,view size is not compatible with input tensor’s size and stride,closed,dipikakhullar,2025-10-15T06:04:11Z,2025-10-15T19:52:16Z,0,https://github.com/pytorch/pytorch/issues/165525
3516326300,165517,torch.func.jvp does not support flash_attn,closed,pnotp,2025-10-15T04:50:29Z,2025-10-16T09:04:34Z,1,https://github.com/pytorch/pytorch/issues/165517
3516108640,165506,[torch.compile] dynamic shape kernel mismatch,open,dxqb,2025-10-15T02:30:20Z,2025-10-19T23:01:04Z,0,https://github.com/pytorch/pytorch/issues/165506
3516100008,165503,Feedback about torch.Tensor.index_put_,closed,NGC13009,2025-10-15T02:24:33Z,2025-10-15T23:28:49Z,2,https://github.com/pytorch/pytorch/issues/165503
3516091243,165501,Inductor custom pass mechanism that maintains config constraints,open,zou3519,2025-10-15T02:17:45Z,2025-10-24T16:38:11Z,0,https://github.com/pytorch/pytorch/issues/165501
3515902690,165491,symbolic_trace removes some pkg.torch.onnx.stack_trace metadata,open,jsmonson,2025-10-15T00:09:14Z,2025-10-17T04:31:53Z,3,https://github.com/pytorch/pytorch/issues/165491
3515756053,165486,Update user-extensible inductor graph partition design,closed,zou3519,2025-10-14T22:51:54Z,2025-10-24T16:39:11Z,1,https://github.com/pytorch/pytorch/issues/165486
3515641281,165480,View decomposition of moe fails in nightly,open,cehongwang,2025-10-14T21:59:16Z,2025-10-20T22:33:28Z,1,https://github.com/pytorch/pytorch/issues/165480
3515551537,165471,inductor graph partition x AOTAutograd Cache issue,open,BoyuanFeng,2025-10-14T21:22:34Z,2025-10-24T16:38:10Z,10,https://github.com/pytorch/pytorch/issues/165471
3515368037,165468,flex_attention does not work with amp,open,wzm2256,2025-10-14T20:21:53Z,2025-10-16T08:55:30Z,1,https://github.com/pytorch/pytorch/issues/165468
3514961801,165455,PrivateUse1 backends starting with cpu and cuda fail in de-serialization,open,matthewdcong,2025-10-14T18:04:41Z,2025-10-14T22:14:43Z,0,https://github.com/pytorch/pytorch/issues/165455
3514824379,165448,`import torch` fails on 3.13 Linux nightly jobs with AST parsing errors,open,izaitsevfb,2025-10-14T17:15:26Z,2025-10-14T20:12:01Z,2,https://github.com/pytorch/pytorch/issues/165448
3514822185,165447,[precompile] AOT Precompile serialization failed when running mutliple times,closed,yiming0416,2025-10-14T17:14:41Z,2025-10-17T17:47:26Z,3,https://github.com/pytorch/pytorch/issues/165447
3514738175,165444,AOTInductor not updating buffers inplace,open,olarucatalin,2025-10-14T16:48:34Z,2025-10-19T23:42:43Z,2,https://github.com/pytorch/pytorch/issues/165444
3514650522,165439,[distributed] wrong typing for fully_shard reshard_after_forward overloads,open,Laurent2916,2025-10-14T16:23:16Z,2025-10-14T16:42:17Z,0,https://github.com/pytorch/pytorch/issues/165439
3513110277,165428,Using NCCL for Global Group and MPI for Sub-Groups in torch.distributed,closed,cq-eng,2025-10-14T09:26:47Z,2025-10-15T13:44:42Z,11,https://github.com/pytorch/pytorch/issues/165428
3513099085,165427,"PyTorch's atan2 function avoids computational anomalies when the input is zero, but the backward gradient becomes NaN.",open,cilence,2025-10-14T09:23:45Z,2025-10-14T14:02:35Z,0,https://github.com/pytorch/pytorch/issues/165427
3513029438,165425,Support FFT operations in FLOP counter,open,rudolfwilliam,2025-10-14T09:04:04Z,2025-10-14T23:15:49Z,2,https://github.com/pytorch/pytorch/issues/165425
3512953447,165422,`_set_pg_timeout` doesn't work for the gloo backend,open,WindowsXp-Beta,2025-10-14T08:41:38Z,2025-10-14T22:55:12Z,3,https://github.com/pytorch/pytorch/issues/165422
3512818560,165421,[torch.compile][fullgraph][dynamic shapes] aten.masked_select.default rejected as “Dynamic shape operator” (eager OK),open,tinywisdom,2025-10-14T08:04:40Z,2025-10-19T23:10:31Z,1,https://github.com/pytorch/pytorch/issues/165421
3512783810,165419,[RFC] Make PyTorch Expandable Segments interoperate with CUDA VMM-based allocators (NCCL ncclMemAlloc),open,eee4017,2025-10-14T07:53:01Z,2025-10-20T17:51:31Z,6,https://github.com/pytorch/pytorch/issues/165419
3512749817,165417,[torch.compile][fullgraph][dynamic shapes] `torch.unique` (`aten._unique2.default`) rejected as “Dynamic shape operator” in fullgraph mode (eager OK),closed,tinywisdom,2025-10-14T07:41:11Z,2025-10-19T23:10:25Z,1,https://github.com/pytorch/pytorch/issues/165417
